Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,19.065,19.416,19.065,19.416,72019,0
2005-02-28,20.172,20.172,19.312,19.38,101346,0
2005-03-01,19.798,19.798,19.209,19.268,53671,0
2005-03-02,19.109,19.195,19.042,19.16,23894,0
2005-03-03,19.744,19.744,19.127,19.187,28870,0
2005-03-04,19.695,19.695,19.294,19.362,20584,0
2005-03-07,19.798,20.118,19.389,19.432,89073,0
2005-03-08,19.906,19.906,19.276,19.294,16835,0
2005-03-09,19.16,19.957,19.136,19.169,58496,0
2005-03-10,19.143,19.711,18.895,18.939,78447,0
2005-03-11,19.024,19.583,18.989,19.007,51405,0
2005-03-14,19.525,19.525,18.745,18.794,55987,0
2005-03-15,18.395,18.674,18.395,18.465,44697,0
2005-03-16,18.285,18.507,18.285,18.446,174635,0
2005-03-17,18.446,18.71,18.446,18.71,18494,0
2005-03-18,19.109,19.109,18.529,18.581,26093,0
2005-03-21,19.151,19.151,18.361,18.522,481290,0
2005-03-22,18.473,18.498,18.106,18.131,119094,0
2005-03-23,18.013,18.013,17.732,17.802,44593,0
2005-03-24,17.621,17.989,17.418,17.936,48712,0
2005-03-28,17.51,17.971,17.51,17.851,17112,0
2005-03-29,17.833,17.833,17.418,17.418,30037,0
2005-03-30,17.374,17.766,17.374,17.759,63061,0
2005-03-31,18.522,18.522,17.427,17.996,19023,0
2005-04-01,18.547,18.547,17.927,18.157,39908,0
2005-04-04,18.089,18.089,18.03,18.081,78638,0
2005-04-05,18.064,18.201,18.064,18.089,23397,0
2005-04-06,18.446,18.446,18.166,18.192,80640,0
2005-04-07,18.947,18.947,18.14,18.192,43061,0
2005-04-08,17.843,18.277,17.843,18.183,37580,0
2005-04-11,17.851,18.157,17.851,18.089,45434,0
2005-04-12,17.868,18.261,17.868,18.089,27335,0
2005-04-13,18.353,18.353,17.9,17.945,7214,0
2005-04-14,17.749,17.749,17.46,17.46,57189,0
2005-04-15,17.409,17.673,17.096,17.104,34952,0
2005-04-18,17.053,17.196,16.848,17.161,53357,0
2005-04-19,17.145,17.494,17.145,17.494,8229,0
2005-04-20,17.621,17.621,17.24,17.24,9875,0
2005-04-21,17.452,17.646,17.4,17.646,15130,0
2005-04-22,17.833,17.833,17.434,17.434,12429,0
2005-04-25,17.383,17.732,17.383,17.732,19052,0
2005-04-26,17.81,17.9,17.732,17.802,46995,0
2005-04-27,17.962,17.962,17.443,17.494,31331,0
